RT 135 Pediatric Respiratory Therapy|12
RT 150 Clinical Practice A|12
RT 160 Clinical Practice B|12
RT 210 Evaluation of the Patient with Pulmonary Disease|12
RT 245 Clinical Practice C|12
RT 270 Clinical Practice D|12
RT 320 Pulmonary Physiology|12
RT 330 Cardiac Physiology|12
RT 350 Clinical Practice E|12
RT 410 Independent Study in Respiratory Therapy|12
RT 430 Clinical Practice F|12
RT 450 Respiratory Therapy Seminar|12
SES 381 Independent Study in Sustainability and Environmental Studies|13
SES 382 Independent Study in Sustainability and Environmental Studies|13
SES 491 Internship in Sustainability and Environmental Studies|13
SES 492 Internship in Sustainability and Environmental Studies|13
ART 101 Art and Visual Culture|14
ART 200 Introduction to Graphic Design|14
ART 204 Survey of Western Art I|14
ART 205 Survey of Western Art II|14
ART 206 Elements of Computer Graphics|14
ART 207 Introduction to Art Therapy|14
ART 208 Introduction to Letterpress|14
ART 210 Design I|14
ART 211 Design II|14
ART 215 Drawing I|14
ART 216 Figure Drawing I|14
ART 218 Typography I|14
ART 219 Typography II|14
ART 220 Painting I|14
ART 223 Illustration I|14
ART 225 Ceramics I|14
ART 230 Sculpture I|14
ART 231 (ART110) Concepts of Design|14
ART 232 (ART112) Concepts of Figure Drawing|14
ART 233 (ART114) Concepts of Painting|14
ART 234 (ART116) Concepts of Sculpture|14
ART 235 (ART134) Concepts of Computer Graphics|14
ART 245 Photography I|14
ART 246 Digital Photography|14
ART 247 The Digital Image|14
ART 265 Drawing II|14
ART 266 Figure Drawing II|14
ART 270 Painting II|14
ART 273 Illustration II|14
ART 275 Ceramics II|14
ART 280 Sculpture II|14
ART 284 Jewelry and Small Sculpture I|14
ART 287 Printmaking I|14
ART 290 Print Production|14
ART 291 Printmaking II|14
ART 293 Book Arts|14
ART 294 Jewelry and Small Sculpture II|14
ART 295 Photography II|14
ART 296 Publication Design|14
ART 298 Sophomore Portfolio Review|14
ART 299 Sophomore Portfolio Review|14
ART 315 Drawing III|14
ART 316 Figure Drawing III|14
ART 320 Painting III|14
ART 323 Illustration III|14
ART 330 Sculpture III|14
ART 339 Motion Graphics|14
ART 340 Web Design I|14
ART 341 Web Design II|14
ART 345 Photography III|14
ART 365 Drawing IV|14
ART 366 Figure Drawing IV|14
ART 370 Painting IV|14
ART 373 Illustration IV|14
ART 380 Sculpture IV|14
ART 385 Photography IV|14
ART 388 History of Photography|14
ART 389 History of Graphic Design|14
